WBS,Task,Duration, Predecessors, Successors
1,CONTRACT AWARD,0,," 4,8,10,136,11"
2,PRACTICAL COMPLETION,0," 36,7,31,69,9,111,123,148,223,226,240,238,243,213,6,12",
3,PRELIMINARIES,,,
4,"Site establishment & disestablishment including but not limited to, mandatory permits and fees",5," 1,10,8,11"," 5,12,14,102,103,104,107,7"
5,Establishment and maintenance of Provision for Traffic in accordance with AS 1742 Manual of uniform traffic control devices and as directed by the Superintendent,0," 4,8",  6 
6,Construction Survey Set out,0," 5,8",  2 
7,"As constructed drawings and data, including surveying & drafting in accordance with Council Standards",5," 4,30",  2 
8,Preparation & implementation of project quality & OHS&R plans,5,  1 ," 4,5,6"
9,Geotechnical Testing,0,  32 ,  2 
10,Portable Long Service Levy,0,  1 ,  4 
11,Enviromental Management (including ASS management),0,  1 ,  4 
12,Provision for Water,,  4 ,  2 
13,SEDIMENT & EROSION CONTROL,,,
14,"Establishment and maintenance of interim site drainage as required, sediment and erosion control devices as nominated on drawings and as directed by the Superintendent complete in place",3,  4 ,  17 
15,EARTHWORKS,,,
16,Tree Protection,,,
17,"Tree protection including installation, maintenance and removal at the completion of works (Provisional Quantity)",1,  14 ,  19 
18,"Clearing, Grubbing & Demolition",,,
19,"Clearing, grubbing vegetation and disposal off site of cleared vegetation, including but not limited to loading, transportation and dumping fees as nominated on the project drawings",4,  17 ," 20,29,126,159,185"
20,Existing Bitumen Seal,5,"  19,159 ",  21 
21,Existing Concrete Kerb / Kerb & Channel,2,  20 ," 22,27"
22,"Remove existing structures, slabs, tanks etc.",1,  21 ,  23 
23,Backfill and compact existing well to WRC requirements,1,  22 ,  24 
24,Relocate existing hazard marker and street sign,1,  23 ,  25 
25,Remove and stack existing unused signage as directed,1,  24 ,
26,Reinstate existing island and landscaping upon completion of stormwater drainage,1,  98 ,  36 
27,Remove abandoned Storm Water Lines and headwalls and dispose off site,1,  21 ,  32 
28,Earthworks,,,
29,"Strip and stockpile topsoil from areas of excavation and filling in accordance with the specification (measured as a solid volume, calculated based on an average 100mm natural topsoil depth)",3,  19 ,"  32,186 "
30,"Respread topsoil in accordance with the specification (measured as a solid volume, calculated based on an average 100mm natural topsoil depth)",2," 79,67,68,115,215,173"," 7,31,36,195FF"
31,Remove from site unused grip material as directed (Provisional),2,  30 ,  2 
32,"Cut to fill including but not limited to, moisture control and compaction as specified (in-place compacted volume of filling)",3," 27,29"," 9,33,187,177FF"
33,"Imported Fill material including but not limited to, moisture control and compaction as specified (in-place compacted volume of filling)",6,  32 ," 34,38,187FF,161,163FF,206FF"
34,"Cut to spoil including but not limited to loading, transportation and tip fees (Provisional)",1,  33 ,"  35,205 "
35,"Removal of unsuitable material including excavation, filling and spoiling material (provisional)",1,  34 ,  38 
36,Grass seeding to disturbed areas as directed by the Superintendent.,1," 26,30,99,134,129",  2 
37,ROAD WORKS,,,
38,"Sub grade preparation as specified including, but not limited to scarifying, moisture control, blending, spreading, compaction and trimming",13," 33,35,206,161"," 82,101,146,183FF,164FF,212,208"
39,Pavement A1,,,
40,Base Course - 125mm Type 2.1,2," 41,47,59",  43 
41,Sub-base Course - 100mm Type 2.3,2,"  85,101,149,183 "," 40,44"
42,Pavement A2 - Roadways,,,
43,Base Course - 125mm Type 2.1,1," 40,44",  46 
44,Sub-base Course - 100mm Type 2.3,1,  41 ," 43,47"
45,Pavement A2 - Rental Car Park,,,
46,Base Course - 125mm Type 2.1,2," 43,47"," 72,53"
47,Sub-Base Course - 100mm Type 2.3,1,  44 ," 40,46,59,55"
48,Pavement B - Roadway,,,
49,Base Course - 150mm Type 2.1,1,  53 ,"  56,229 "
50,Upper Sub-Base Course - 150mm Type 2.3,1," 54,63",  60 
51,Lower Sub-Base Course - 150mm Type 2.3,1,"  55,212,211 "," 54,63"
52,Pavement B - Public Car Park including Road 3,,,
53,Base Course - 150mm Type 2.1,2," 46,60,239"," 49,189,166FF"
54,Upper Sub Base Course - 150mm Type 2.3,2,  51 ," 50,190,165FF"
55,Lower Base Course - 150mm Type 2.3,2,  47 ,  51 
56,Final Trim to Pavement,13,  49 ," 75,197FF,167FF"
57,Concrete Works,,,
58,"Concrete Kerb & Channel as specified in place, including but not limited to transitions, ramps & gullies",,,
59,Barrier Kerb & Channel Type B1 600mm wide,6.7,  47 ," 40,93,193FF"
60,Barrier Kerb Type B2,3.72,  50 ," 53,61,115,194FF"
61,Semi Mountable Kerb Type SM4,1,  60 ," 62,227,231FF,192FF"
62,Kerb Ramp,5,  61 ,  65 
63,Raised Threshold Pedestrian Crossing,4.025,  51 ,  50 
64,Additional Concrete Works,,,
65,Concrete Footpaths 2.45m wide,5,  62 ," 66,173FF"
66,Concrete Footpaths 2.5m wide,1,  65 ,  67 
67,Concrete Footpaths 3m wide,8,  66 ," 30,68,216"
68,"Concrete Infill to Median Islands to carparks and round about island, complete in place",4,  67 ,  30 
69,"Wheelstops, complete in place (in accordance with AS2890.1)",1,  79 ," 2,200FF"
70,Surfacing Works,,,
71,Existing Public Carpark,,,
72,First Seal: 7mm CRS60,1,  46 ,  73 
73,"Second Seal: 40mm AC Surfacing, (DG10) complete in place, including but not limited to supply, compaction and prime coat)",1,  72 ,  110 
74,Roadways and New Carpark,,,
75,First Seal: 7mm CRS60 Primerseal,1," 56,95"," 76,233FF,168FF"
76,"Second Seal: 40mm AC Surfacing, (DG10) complete in place, including but not limited to supply, compaction and prime coat)",3,  75 ," 78,118,147,242,234FF,191FF,169FF"
77,Signage and Pavement Marking,,,
78,"Signage and pavement marking, complete in place.  All work to be in accordance with the requirements of AS 1742 Manual of Uniform Traffic Control Devices (Provisional Sum)",1,  76 ," 79,203FF"
79,Signage complete in place including supply and installation. All work to be in accordance with the requirements of AS 1742 Manual of Uniform Traffic Control Devices(Provisional Sum),1,"  78,203 "," 30,69"
80,STORMWATER DRAINAGE,,,
81,Pipework,,,
82,375mm dia Class 2 RRJ,2,  38 ,  83 
